ID,Fi,Lambda,E_utm,N_utm,distance_m,label_text,epoch_col,epoch_date,risk_pk,top20
D30001200147,-12.64544454,28.03573303,612479.1772366554,8601850.123245634,41.756893902744196,buffer,D20250206,2025-02-06,0.8220513,0
D30001200148,-12.64543748,28.03570269,612475.8851181264,8601850.917121131,38.38909635045538,buffer,D20250206,2025-02-06,0.23863249,0
D30001200156,-12.64538099,28.03546,612449.5514270035,8601857.269203948,11.44980342691659,buffer,D20250206,2025-02-06,0.65692306,0
D30001200163,-12.64533166,28.03524806,612426.5543331199,8601862.81615613,0.0,core,D20250206,2025-02-06,0.17760684,0
D30001200168,-12.64529394,28.03508616,612408.9869690537,8601867.057530966,0.0,core,D20250206,2025-02-06,0.48871794,0
D30001200169,-12.64528534,28.03504927,612404.9841291001,8601868.024535187,0.0,core,D20250206,2025-02-06,0.33931625,0
D30001200197,-12.64506771,28.03411522,612303.6326133772,8601892.495391652,0.0,core,D20250206,2025-02-06,0.6745299,0
D30001200209,-12.6449715,28.03370241,612258.8395596958,8601903.313313246,0.0,core,D20250206,2025-02-06,0.12205128,0
D30001200213,-12.64493955,28.0335653,612243.9620637351,8601906.905787244,0.0,core,D20250206,2025-02-06,0.4565812,0
D30001200215,-12.64492349,28.03349641,612236.4869675022,8601908.711565863,0.0,core,D20250206,2025-02-06,0.89726496,0
D30001200219,-12.64489434,28.0333712,612222.9006976264,8601911.989245396,0.0,core,D20250206,2025-02-06,0.1017094,0
D30001200259,-12.64460125,28.03211264,612086.3369296443,8601944.944289923,13.669281004659128,buffer,D20250206,2025-02-06,0.9948718,1
D30001200342,-12.64399331,28.02950209,611803.0706498083,8602013.298896028,159.29175345054236,near-field,D20250206,2025-02-06,0.708547,0
D30001200428,-12.64338633,28.02689484,611520.1612231365,8602081.542987809,214.08334041371057,near-field,D20250206,2025-02-06,0.69760686,0
D30001200429,-12.64337927,28.02686453,611516.8723179576,8602082.33673512,214.72069796967733,near-field,D20250206,2025-02-06,0.48991454,0
D30001200489,-12.64295619,28.02504728,611319.6841234071,8602129.902764563,252.9103163423342,near-field,D20250206,2025-02-06,0.9386325,1
D30001300128,-12.64569205,28.03623631,612533.7297768991,8601822.532318508,99.45666398607634,buffer,D20250206,2025-02-06,0.5246154,0
D30001300129,-12.645686,28.03621028,612530.9053263989,8601823.212641437,96.5673870999035,buffer,D20250206,2025-02-06,0.12735043,0
D30001300133,-12.64566187,28.03610644,612519.6379032178,8601825.926067851,85.0414274892944,buffer,D20250206,2025-02-06,0.82632476,0
D30001300138,-12.64563169,28.03597655,612505.5438545306,8601829.319818532,70.62403459593148,buffer,D20250206,2025-02-06,0.954359,1
