ID,Fi,Lambda,E,N,epoch_label,risk_pk
D10119319597,-33.48569309,148.99254465,685123.4,6293090.5,D20170805,0.014481854
D10119419004,-33.49155181,149.01690894,687374.8,6292397.1,D20170805,0.23456155
D10119419005,-33.4915422,149.01686804,687371.0,6292398.2,D20170805,0.27905998
D10119419009,-33.4915035,149.01670333,687355.8,6292402.8,D20170805,0.01776123
D10119419010,-33.49149383,149.01666215,687352.0,6292404.0,D20170805,0.13012578
D10119419012,-33.49147449,149.01657981,687344.4,6292406.3,D20170805,0.100805275
D10119419013,-33.49146485,149.01653881,687340.6,6292407.4,D20170805,0.12398751
D10119419020,-33.49140041,149.01626437,687315.2,6292415.1,D20170805,0.014676338
D10119419022,-33.49138179,149.0161851,687307.9,6292417.3,D20170805,0.07139898
D10119419442,-33.4871432,148.99815849,685641.9999999999,6292919.7,D20170805,0.026501317
D10119419478,-33.486836,148.99685021,685521.1,6292956.1,D20170805,0.89809966
D10119419479,-33.4868276,148.99681444,685517.8,6292957.1,D20170805,0.15090457
D10119419483,-33.48679567,148.99667837,685505.2,6292960.9,D20170805,0.1763249
D10119419484,-33.48678767,148.99664428,685502.0000000001,6292961.8,D20170805,0.04313218
D10119419485,-33.48677966,148.99661011,685498.9,6292962.8,D20170805,0.10318104
D10119419487,-33.48676356,148.9965415,685492.5,6292964.7,D20170805,0.19501418
D10119419490,-33.48674016,148.99644178,685483.2999999999,6292967.5,D20170805,0.21349691
D10119419491,-33.48673237,148.99640855,685480.2,6292968.4,D20170805,0.2665487
D10119419492,-33.48672455,148.99637523,685477.2,6292969.3,D20170805,0.2507524
D10119419496,-33.48669323,148.99624172,685464.8,6292973.0,D20170805,0.20509686
D10119419498,-33.4866782,148.99617762,685458.9,6292974.8,D20170805,0.224539
D10119419499,-33.48667058,148.99614509,685455.9,6292975.7,D20170805,0.20979486
D10119419500,-33.48666293,148.9961125,685452.9,6292976.6,D20170805,0.24576548
D10119419501,-33.48665527,148.99607984,685449.9,6292977.5,D20170805,0.21676712
D10119419504,-33.4866322,148.99598146,685440.8,6292980.3,D20170805,0.11299328
D10119419507,-33.48661065,148.99588951,685432.3,6292982.8,D20170805,0.06488748
D10119419508,-33.48660348,148.9958589,685429.4,6292983.7,D20170805,0.09833114
D10119419509,-33.48659646,148.99582894,685426.7,6292984.5,D20170805,0.07389521
D10119419513,-33.48656752,148.99570547,685415.2999999999,6292987.9,D20170805,0.030306492
D10119419517,-33.48653726,148.99557641,685403.2999999999,6292991.5,D20170805,0.1697272
D10119419518,-33.48652966,148.99554399,685400.3,6292992.4,D20170805,0.53207064
D10119419519,-33.48652201,148.9955114,685397.3,6292993.3,D20170805,0.018895013
D10119419521,-33.48650664,148.99544585,685391.2999999999,6292995.100000001,D20170805,0.01769742
D10119419522,-33.48649838,148.99541067,685388.0,6292996.1,D20170805,0.06832351
D10119419525,-33.48647094,148.99529392,685377.2,6292999.4,D20170805,0.034813143
D10119419526,-33.48646178,148.99525492,685373.6,6293000.499999999,D20170805,0.094738066
D10119419527,-33.48645261,148.99521592,685369.9999999999,6293001.5,D20170805,0.17328629
D10119419528,-33.48644344,148.99517691,685366.4,6293002.600000001,D20170805,0.027145572
D10119419530,-33.48642441,148.99509597,685358.9,6293004.9,D20170805,0.12339096
D10119419531,-33.48641477,148.99505496,685355.1,6293006.0,D20170805,0.009998059
D10119419532,-33.48640513,148.99501395,685351.2999999999,6293007.200000001,D20170805,0.46415466
D10119419533,-33.48639548,148.99497293,685347.6,6293008.3,D20170805,0.07895841
D10119419534,-33.48638583,148.99493186,685343.8,6293009.5,D20170805,0.021665031
D10119419535,-33.48637617,148.99489079,685340.0,6293010.6,D20170805,0.25782523
D10119419536,-33.48636687,148.99485122,685336.3,6293011.7,D20170805,0.061251845
D10119419538,-33.48634846,148.99477293,685329.1,6293013.9,D20170805,0.54558474
D10119419542,-33.48631173,148.99461662,685314.6,6293018.2,D20170805,0.0692615
D10119419543,-33.48630301,148.9945795,685311.2,6293019.3,D20170805,0.11827347
D10119419545,-33.48628682,148.99451053,685304.8,6293021.2,D20170805,0.1916372
D10119419547,-33.48627104,148.99444326,685298.6,6293023.1,D20170805,0.019102817
D10119419550,-33.48624731,148.99434215,685289.3,6293025.9,D20170805,0.17760518
D10119419551,-33.48623954,148.99430903,685286.2,6293026.8,D20170805,0.008336433
D10119419555,-33.48620546,148.99416388,685272.8,6293030.8,D20170805,0.045241434
D10119419559,-33.48617232,148.99402274,685259.7,6293034.8,D20170805,0.12239143
D10119419560,-33.48616338,148.99398469,685256.2,6293035.8,D20170805,0.078385316
D10119419561,-33.48615419,148.99394558,685252.6,6293036.9,D20170805,0.4868111
D10119419576,-33.48601797,148.99336595,685199.0,6293053.0,D20170805,0.18968092
D10119419577,-33.486009,148.99332778,685195.5,6293054.1,D20170805,0.12116212
D10119419581,-33.48597301,148.99317461,685181.4,6293058.4,D20170805,0.51238805
D10119419582,-33.48596354,148.99313432,685177.6,6293059.5,D20170805,0.12722862
D10119419584,-33.48594449,148.99305333,685170.1,6293061.8,D20170805,0.15187125
D10119419585,-33.48593492,148.99301262,685166.4,6293062.9,D20170805,0.17666827
D10119419605,-33.485733,148.99215436,685087.1,6293086.8,D20170805,0.3042888
D10119519008,-33.4916393,149.01672044,687357.1,6292387.7,D20170805,0.38716334
D10119519009,-33.49162974,149.01667974,687353.3,6292388.9,D20170805,0.0019309536
D10119519013,-33.49159174,149.01651796,687338.4,6292393.4,D20170805,0.016966818
D10119519014,-33.49158259,149.01647899,687334.8,6292394.5,D20170805,0.0091013685
D10119519015,-33.49157346,149.01644014,687331.2,6292395.6,D20170805,0.016283302
D10119519480,-33.48694385,148.99674838,685511.4,6292944.3,D20170805,0.006366028
D10119519481,-33.48693589,148.99671447,685508.2,6292945.3,D20170805,0.2899129
D10119519482,-33.48692792,148.99668049,685505.1,6292946.2,D20170805,0.21208264
D10119519483,-33.48691992,148.99664642,685501.9,6292947.2,D20170805,0.06666548
