ID,Fi,Lambda,E_utm,N_utm,distance_m,label_text,epoch_col,epoch_date,risk,top20
D10112319170,-33.48110601,149.01226622,686965.8596982453,6293563.87758084,2744.3342674905302,far-field,D20180213,2018-02-13,0.053356357,0
D10112319171,-33.48109508,149.01221975,686961.5648202435,6293565.17337144,2743.2403206078775,far-field,D20180213,2018-02-13,0.08368523,0
D10112319178,-33.48102185,149.01190838,686932.7871570103,6293573.855044716,2736.0882281428067,far-field,D20180213,2018-02-13,0.0039140373,0
D10112319182,-33.48098087,149.01173412,686916.6815451335,6293578.713356391,2732.2212847111023,far-field,D20180213,2018-02-13,0.010942612,0
D10112319185,-33.48094888,149.01159812,686904.1120386176,6293582.505798254,2729.272293194939,far-field,D20180213,2018-02-13,0.02907596,0
D10112319189,-33.48090885,149.01142787,686888.3770021121,6293587.251490096,2725.6636531086106,far-field,D20180213,2018-02-13,0.006756938,0
D10112319197,-33.48082889,149.01108774,686856.9410557405,6293596.73103906,2718.736035646138,far-field,D20180213,2018-02-13,0.062030617,0
D10112419129,-33.48168128,149.01415119,687139.7888210253,6293496.685792749,2782.226728231119,far-field,D20180213,2018-02-13,0.00496938,0
D10112419130,-33.48167033,149.01410466,687135.4884594118,6293497.983989313,2780.846630124609,far-field,D20180213,2018-02-13,0.00039975616,0
D10112419131,-33.48165938,149.01405809,687131.1843796483,6293499.282256024,2779.4710552310657,far-field,D20180213,2018-02-13,0.07362571,0
D10112419133,-33.48163639,149.01396044,687122.1594583368,6293502.007790212,2776.6108452449416,far-field,D20180213,2018-02-13,0.00016233625,0
D10112419135,-33.48161315,149.0138617,687113.033779075,6293504.763004537,2773.7476655072232,far-field,D20180213,2018-02-13,0.10220239,0
D10112419136,-33.48160153,149.01381232,687108.4700083979,6293506.140626403,2772.3267485588926,far-field,D20180213,2018-02-13,0.0055789463,0
D10112419137,-33.48158989,149.01376287,687103.8997746244,6293507.52059014,2770.9116322678865,far-field,D20180213,2018-02-13,0.22417177,1
D10112419141,-33.48154321,149.01356457,687085.5726219399,6293513.054631522,2765.3125694490805,far-field,D20180213,2018-02-13,0.69608605,1
D10112419142,-33.4815319,149.0135165,687081.1299127217,6293514.395501306,2763.9730163399104,far-field,D20180213,2018-02-13,0.02703374,0
D10112419143,-33.48152066,149.01346877,687076.7186472577,6293515.7279935125,2762.650942593935,far-field,D20180213,2018-02-13,0.043329574,0
D10112419146,-33.48148871,149.01333292,687064.1631274389,6293519.515944395,2758.9227803899275,far-field,D20180213,2018-02-13,0.0839748,0
D10112419150,-33.4814461,149.01315177,687047.4208931666,6293524.567658446,2754.041292346022,far-field,D20180213,2018-02-13,0.13497144,0
D10112419153,-33.4814143,149.01301656,687034.924503787,6293528.33778259,2750.464179438238,far-field,D20180213,2018-02-13,0.03496962,0
D10112419154,-33.48140364,149.01297124,687030.7359357462,6293529.601591144,2749.278129513693,far-field,D20180213,2018-02-13,0.087350555,0
D10112419155,-33.48139296,149.01292583,687026.5390462077,6293530.8677779045,2748.0960839163995,far-field,D20180213,2018-02-13,0.28496158,1
D10112419156,-33.48138205,149.01287945,687022.2525101736,6293532.161216507,2746.8956601524087,far-field,D20180213,2018-02-13,1.2232251e-05,0
D10112419161,-33.48132815,149.01265035,687001.0786151325,6293538.551253623,2741.0663840296265,far-field,D20180213,2018-02-13,0.15643407,0
D10112419169,-33.48124353,149.01229059,686967.8287584786,6293548.583314363,2732.2467497441958,far-field,D20180213,2018-02-13,0.030071555,0
D10112419170,-33.48123279,149.01224491,686963.6068923873,6293549.856613066,2731.1560085098204,far-field,D20180213,2018-02-13,0.6522416,1
D10112419171,-33.48122204,149.01219924,686959.3859760653,6293551.131000816,2730.073376713851,far-field,D20180213,2018-02-13,0.059272565,0
D10112419182,-33.48110718,149.01171087,686914.2495391231,6293564.7479947675,2718.907090835538,far-field,D20180213,2018-02-13,0.09071907,0
D10112419187,-33.48105565,149.01149174,686893.9969163071,6293570.857014617,2714.147269801717,far-field,D20180213,2018-02-13,0.0004888675,0
D10112419188,-33.48104574,149.01144957,686890.0994272095,6293572.031917091,2713.248594041392,far-field,D20180213,2018-02-13,0.0017349123,0
D10112419189,-33.48103592,149.01140778,686886.237056604,6293573.196153177,2712.363679550764,far-field,D20180213,2018-02-13,0.0007704661,0
D10112419191,-33.48101631,149.01132437,686878.5280461994,6293575.52098765,2710.615504003844,far-field,D20180213,2018-02-13,4.0454717e-05,0
D10112519129,-33.48180983,149.01413737,687138.2279859718,6293482.455064621,2769.6509952137753,far-field,D20180213,2018-02-13,0.018412486,0
D10112519130,-33.48179888,149.01409083,687133.9267014175,6293483.753278818,2768.259866567497,far-field,D20180213,2018-02-13,0.014832777,0
D10112519135,-33.48174149,149.01384697,687111.3888711311,6293490.557202438,2761.0799887987964,far-field,D20180213,2018-02-13,0.17958373,1
D10112519136,-33.48172985,149.01379754,687106.820503798,6293491.937131882,2759.647500439818,far-field,D20180213,2018-02-13,0.000877569,0
D10112519137,-33.48171791,149.01374683,687102.133833369,6293493.35263508,2758.185590142525,far-field,D20180213,2018-02-13,0.004911007,0
D10112519139,-33.48169304,149.01364122,687092.373251791,6293496.300973494,2755.1667239667663,far-field,D20180213,2018-02-13,0.0016809745,0
D10112519143,-33.48164533,149.0134386,687073.6468837745,6293501.9570021145,2749.4709258837765,far-field,D20180213,2018-02-13,0.056803092,0
D10112519144,-33.48163432,149.01339179,687069.3206220593,6293503.262327068,2748.1720405407323,far-field,D20180213,2018-02-13,0.39042708,1
D10112519145,-33.48162341,149.01334541,687065.0341031008,6293504.555785518,2746.8919175959777,far-field,D20180213,2018-02-13,0.00044771345,0
D10112519146,-33.48161259,149.01329941,687060.7827020453,6293505.838576584,2745.628845773704,far-field,D20180213,2018-02-13,0.0026242428,0
D10112519153,-33.48153932,149.01298787,687031.9895786429,6293514.525300348,2737.2478729886634,far-field,D20180213,2018-02-13,0.079558685,0
D10112519155,-33.48151759,149.01289551,687023.4534991279,6293517.1014798805,2734.82260632429,far-field,D20180213,2018-02-13,0.9866296,1
D10112519156,-33.48150642,149.01284803,687019.0653075498,6293518.425732179,2733.5862328521525,far-field,D20180213,2018-02-13,0.50166917,1
D10112519167,-33.48138854,149.01234692,686972.7516845386,6293532.40086972,2720.9729001644455,far-field,D20180213,2018-02-13,0.070049256,0
D10112519169,-33.48136739,149.01225701,686964.4420029647,6293534.90826296,2718.7946307455886,far-field,D20180213,2018-02-13,0.12691745,0
D10112519170,-33.48135727,149.01221395,686960.4622810556,6293536.1080860915,2717.7597163508417,far-field,D20180213,2018-02-13,0.94449764,1
D10112519171,-33.48134693,149.01216999,686956.3993960138,6293537.333925594,2716.71013812403,far-field,D20180213,2018-02-13,0.7687972,1
D10112519172,-33.48133644,149.01212536,686952.2745707427,6293538.577604413,2715.6501999859574,far-field,D20180213,2018-02-13,0.62381965,1
D10112519173,-33.48132605,149.01208119,686948.1922764182,6293539.809363376,2714.608290896331,far-field,D20180213,2018-02-13,0.5132339,1
D10112519174,-33.48131544,149.01203608,686944.0231017362,6293541.067210551,2713.5506021886395,far-field,D20180213,2018-02-13,0.12726834,0
D10112519180,-33.48125331,149.01177189,686919.6059891288,6293548.432933452,2707.487671966673,far-field,D20180213,2018-02-13,0.016498834,0
D10112519183,-33.48122429,149.0116484,686908.1926713866,6293551.873494891,2704.729403781885,far-field,D20180213,2018-02-13,0.02179502,0
D10112519186,-33.48119437,149.01152115,686896.4318706543,6293555.420618574,2701.940805952338,far-field,D20180213,2018-02-13,0.0008311776,0
D10112519187,-33.48118419,149.01147785,686892.4299596114,6293556.627498735,2701.0038946747773,far-field,D20180213,2018-02-13,0.0001407915,0
D10112519188,-33.48117408,149.01143486,686888.4567049582,6293557.826056353,2700.080050050035,far-field,D20180213,2018-02-13,0.0030225927,0
D10112519193,-33.48112393,149.01122154,686868.741031755,6293563.771526534,2695.5840271750844,far-field,D20180213,2018-02-13,5.6849927e-05,0
D10112519196,-33.48109403,149.01109434,686856.9848081934,6293567.31629288,2692.9740812414757,far-field,D20180213,2018-02-13,0.0061330386,0
D10112619137,-33.48184425,149.01372367,687099.7098663363,6293479.383818483,2745.2689627059663,far-field,D20180213,2018-02-13,0.34677905,1
D10112619138,-33.48183162,149.01367005,687094.7542667801,6293480.881081747,2743.7217447475473,far-field,D20180213,2018-02-13,0.020513006,0
D10112619139,-33.48181897,149.01361636,687089.7922039266,6293482.380686477,2742.1817484966255,far-field,D20180213,2018-02-13,0.0022321215,0
D10112619141,-33.48179313,149.01350666,687079.6536438157,6293485.443953173,2739.062392262673,far-field,D20180213,2018-02-13,0.028008163,0
D10112619142,-33.481781,149.01345515,687074.8930401639,6293486.881955171,2737.6102903989795,far-field,D20180213,2018-02-13,0.19521533,1
D10112619143,-33.48176913,149.01340476,687070.2359547988,6293488.289103359,2736.1981100614894,far-field,D20180213,2018-02-13,0.72129864,1
D10112619144,-33.48175758,149.01335566,687065.6980564386,6293489.658437775,2734.8281935215396,far-field,D20180213,2018-02-13,0.033516593,0
D10112619145,-33.48174613,149.01330703,687061.2036177685,6293491.015833417,2733.4798024928955,far-field,D20180213,2018-02-13,0.08173145,0
D10112619146,-33.48173479,149.01325885,687056.7507587672,6293492.360217432,2732.1508067604473,far-field,D20180213,2018-02-13,0.0058145984,0
D10112619152,-33.48167137,149.01298919,687031.8283002421,6293499.87914696,2724.8424498686904,far-field,D20180213,2018-02-13,0.11905409,0
D10112619155,-33.48164005,149.01285604,687019.522337592,6293503.592310663,2721.318857965835,far-field,D20180213,2018-02-13,0.93973,1
D10112619156,-33.48162943,149.01281088,687015.3485613795,6293504.851388863,2720.1362730345427,far-field,D20180213,2018-02-13,0.5521903,1
D10112619168,-33.48150195,149.01226891,686965.258609458,6293519.964708423,2706.454062265688,far-field,D20180213,2018-02-13,0.084156714,0
D10112619171,-33.48147034,149.01213452,686952.8379932945,6293523.712177977,2703.2072042488653,far-field,D20180213,2018-02-13,0.8876617,1
D10112619174,-33.4814389,149.01200082,686940.4811232032,6293527.439536165,2700.034241533492,far-field,D20180213,2018-02-13,0.055087425,0
D10112619177,-33.48140729,149.01186643,686928.0604896055,6293531.18697294,2696.9041195463196,far-field,D20180213,2018-02-13,0.8199951,1
D10112619182,-33.48135825,149.01165781,686908.7792671437,6293537.000970439,2692.1588157438696,far-field,D20180213,2018-02-13,0.12311742,0
D10112619184,-33.4813392,149.01157672,686901.2846800312,6293539.25954562,2690.351608137144,far-field,D20180213,2018-02-13,0.008700204,0
D10112619185,-33.48132972,149.01153639,686897.5572680918,6293540.383453543,2689.4613591675493,far-field,D20180213,2018-02-13,0.9079671,1
D10112619186,-33.48132012,149.01149553,686893.780861413,6293541.5216217395,2688.5644121832097,far-field,D20180213,2018-02-13,0.0043181228,0
D10112619187,-33.48131044,149.01145434,686889.9739596067,6293542.669254227,2687.6660149592426,far-field,D20180213,2018-02-13,4.9124686e-05,0
D10112619191,-33.4812711,149.01128695,686874.5032756862,6293547.333258918,2684.072745525646,far-field,D20180213,2018-02-13,0.014875412,0
D10112619194,-33.48124186,149.01116255,686863.0058547778,6293550.799801614,2681.46259620493,far-field,D20180213,2018-02-13,0.0034650613,0
D10112619195,-33.48123196,149.01112047,686859.1167130433,6293551.973420825,2680.5921732268516,far-field,D20180213,2018-02-13,0.010498276,0
D10112619196,-33.4812222,149.01107892,686855.2765215433,6293553.130558962,2679.736976342248,far-field,D20180213,2018-02-13,0.020442175,0
D10112719133,-33.48201403,149.0138852,687114.3551900747,6293460.264769711,2737.8044616230686,far-field,D20180213,2018-02-13,0.0013498263,0
D10112719134,-33.48200236,149.01383562,687109.7729632177,6293461.648298539,2736.334644107294,far-field,D20180213,2018-02-13,0.0013057558,0
D10112719137,-33.48196596,149.01368105,687095.4874994976,6293465.963525213,2731.8027446064107,far-field,D20180213,2018-02-13,0.8643862,1
D10112719138,-33.48195334,149.01362747,687090.5356020642,6293467.459605558,2730.2493044385446,far-field,D20180213,2018-02-13,0.08411677,0
D10112719139,-33.48194073,149.01357391,687085.5855402779,6293468.954538286,2728.70486661168,far-field,D20180213,2018-02-13,0.07050555,0
D10112719141,-33.48191565,149.01346744,687075.7455141764,6293471.927699014,2725.662473869341,far-field,D20180213,2018-02-13,0.038623583,0
D10112719143,-33.48189191,149.01336661,687066.4267108326,6293474.742084721,2722.8128092694355,far-field,D20180213,2018-02-13,0.29426542,1
D10112719146,-33.48185622,149.013215,687052.4147501371,6293478.973175354,2718.5874076161576,far-field,D20180213,2018-02-13,0.0011506709,0
D10112719151,-33.48180357,149.01299117,687031.7280300276,6293485.215169696,2712.4776581335623,far-field,D20180213,2018-02-13,0.30632737,1
D10112719153,-33.48178312,149.01290416,687023.68638659,6293487.639764175,2710.143788557216,far-field,D20180213,2018-02-13,0.00037820483,0
D10112719155,-33.48176293,149.01281832,687015.7529055933,6293490.033410879,2707.8662691390587,far-field,D20180213,2018-02-13,0.1521542,0
D10112719158,-33.48173271,149.01268976,687003.8711231659,6293493.616299825,2704.4974829528264,far-field,D20180213,2018-02-13,0.35672358,1
D10112719165,-33.48166,149.01238056,686975.2942434865,6293502.236536631,2696.614434230831,far-field,D20180213,2018-02-13,9.442597e-05,0
D10112719173,-33.48157366,149.01201354,686941.3735358678,6293512.472329164,2687.660634374513,far-field,D20180213,2018-02-13,0.093623355,0
D10112719177,-33.48153079,149.01183132,686924.5323896188,6293517.554587712,2683.378191869862,far-field,D20180213,2018-02-13,0.8643276,1
D10112719180,-33.48150086,149.011704,686912.7651530092,6293521.102968598,2680.448099913112,far-field,D20180213,2018-02-13,5.4376605e-06,0
D10112719185,-33.48145273,149.01149922,686893.8388312516,6293526.80910705,2675.8461496026844,far-field,D20180213,2018-02-13,0.9954704,1
D10112719186,-33.48144352,149.01145998,686890.2121346986,6293527.901107933,2674.978859600979,far-field,D20180213,2018-02-13,0.005622534,0
D10112719195,-33.48135894,149.01109999,686856.9407655323,6293537.928761616,2667.2685710194537,far-field,D20180213,2018-02-13,0.043551918,0
D10112819129,-33.48218402,149.01404758,687129.078990266,6293441.12087512,2730.5569349629995,far-field,D20180213,2018-02-13,0.10268123,0
D10112819131,-33.48216087,149.01394926,687119.9922072847,6293443.865361098,2727.574297756284,far-field,D20180213,2018-02-13,0.00013846438,0
D10112819132,-33.48214912,149.01389932,687115.3767073959,6293445.258413643,2726.0699236537794,far-field,D20180213,2018-02-13,0.0013864745,0
D10112819133,-33.48213729,149.01384908,687110.7335002732,6293446.660876373,2724.5651484600016,far-field,D20180213,2018-02-13,0.0067101596,0
D10112819134,-33.48212539,149.01379852,687106.0607058381,6293448.07167634,2723.0581748179284,far-field,D20180213,2018-02-13,0.0032305247,0
D10112819135,-33.48211315,149.01374657,687101.2594728644,6293449.522684082,2721.5192058668395,far-field,D20180213,2018-02-13,0.16351849,0
D10112819137,-33.48208764,149.01363827,687091.2503391404,6293452.546845626,2718.3372486997932,far-field,D20180213,2018-02-13,0.9535222,1
D10112819138,-33.48207502,149.0135847,687086.2993775134,6293454.042906078,2716.7769550152893,far-field,D20180213,2018-02-13,0.3399256,1
D10112819141,-33.48203796,149.01342734,687071.7560697352,6293458.436317593,2712.244470120319,far-field,D20180213,2018-02-13,0.09752014,0
D10112819145,-33.48199045,149.01322553,687053.1046084143,6293464.068670398,2706.5436224315654,far-field,D20180213,2018-02-13,0.014869096,0
D10112819146,-33.48197958,149.01317931,687048.832887915,6293465.357398237,2705.254986589613,far-field,D20180213,2018-02-13,0.06967359,0
D10112819151,-33.48192859,149.01296247,687028.7921881945,6293471.40270444,2699.299012542436,far-field,D20180213,2018-02-13,0.90211046,1
D10112819153,-33.48190825,149.01287592,687020.7930660077,6293473.814269657,2696.9622565013015,far-field,D20180213,2018-02-13,0.015408376,0
D10112819154,-33.48189808,149.01283271,687016.799543831,6293475.019932596,2695.806003763034,far-field,D20180213,2018-02-13,0.33360773,1
D10112819155,-33.48188804,149.01278999,687012.8512756303,6293476.210294567,2694.667336405883,far-field,D20180213,2018-02-13,0.89157784,1
D10112819157,-33.48186794,149.01270448,687004.9482746706,6293478.593357554,2692.405993818289,far-field,D20180213,2018-02-13,0.017532269,0
D10112819158,-33.48185789,149.01266172,687000.9963082285,6293479.784895562,2691.2838591037294,far-field,D20180213,2018-02-13,0.09009616,0
D10112819159,-33.48184782,149.01261891,686997.0397375296,6293480.978739895,2690.167067564528,far-field,D20180213,2018-02-13,0.003800829,0
D10112819168,-33.4817544,149.01222164,686960.3232874408,6293492.054241026,2680.0824410257615,far-field,D20180213,2018-02-13,0.003012488,0
D10112819175,-33.48167891,149.01190074,686930.6651043254,6293501.003707836,2672.313181011529,far-field,D20180213,2018-02-13,9.105011e-05,0
D10112819177,-33.4816574,149.01180933,686922.216824152,6293503.553689319,2670.1622908924523,far-field,D20180213,2018-02-13,0.042910263,0
D10112819180,-33.48162678,149.01167911,686910.1815970942,6293507.183808184,2667.143436173506,far-field,D20180213,2018-02-13,0.00045797683,0
D10112819192,-33.48151334,149.01119631,686865.5598726216,6293520.633079665,2656.4315334479606,far-field,D20180213,2018-02-13,0.0015077558,0
D10112819198,-33.48145806,149.01096099,686843.810875582,6293527.1870019175,2651.490533244527,far-field,D20180213,2018-02-13,0.00032183487,0
D10112919125,-33.48234951,149.01419105,687142.0551656282,6293422.510079963,2722.9179681223204,far-field,D20180213,2018-02-13,0.0004774905,0
D10112919128,-33.48231796,149.01405688,687129.6550468397,6293426.250735781,2718.7552244674866,far-field,D20180213,2018-02-13,0.0023982807,0
D10112919129,-33.48230694,149.01401005,687125.3269888348,6293427.5572328335,2717.316040293973,far-field,D20180213,2018-02-13,0.2357782,1
D10112919133,-33.4822612,149.01381571,687107.3659699976,6293432.97994243,2711.4166719528307,far-field,D20180213,2018-02-13,0.00571756,0
D10112919136,-33.48222474,149.01366086,687093.0546584108,6293437.302325988,2706.8012507973935,far-field,D20180213,2018-02-13,0.20245802,1
D10112919141,-33.48216287,149.01339814,687068.7739478752,6293444.636961468,2699.1430738489253,far-field,D20180213,2018-02-13,0.025318723,0
D10112919142,-33.48215089,149.01334728,687064.0734435515,6293446.057153214,2697.685799378232,far-field,D20180213,2018-02-13,0.031100212,0
D10112919144,-33.48212642,149.01324335,687054.4681590867,6293448.958069114,2694.7323071759383,far-field,D20180213,2018-02-13,0.00047543357,0
D10112919145,-33.48211452,149.01319283,687049.7990741186,6293450.368769337,2693.30944070497,far-field,D20180213,2018-02-13,0.015307562,0
D10112919146,-33.48210395,149.01314787,687045.6438024931,6293451.621956729,2692.0480634103787,far-field,D20180213,2018-02-13,0.23602898,1
D10112919153,-33.48203361,149.01284869,687017.99311402,6293459.9614485875,2683.818328375032,far-field,D20180213,2018-02-13,0.18308027,1
D10112919154,-33.48202356,149.01280594,687014.0420859329,6293461.15297436,2682.66560935687,far-field,D20180213,2018-02-13,0.73256934,1
D10112919155,-33.48201345,149.01276292,687010.0660956227,6293462.351638663,2681.5111916288743,far-field,D20180213,2018-02-13,0.73729753,1
D10112919156,-33.48200345,149.01272038,687006.1344729738,6293463.53723797,2680.3757549001552,far-field,D20180213,2018-02-13,0.020313358,0
D10112919157,-33.48199346,149.01267787,687002.2056157697,6293464.721672626,2679.246645269462,far-field,D20180213,2018-02-13,0.0016819736,0
D10112919162,-33.4819441,149.01246789,686982.798871348,6293470.573763182,2673.7560478123364,far-field,D20180213,2018-02-13,0.3920993,1
D10112919163,-33.48193376,149.01242391,686978.734158256,6293471.799649575,2672.6242414456988,far-field,D20180213,2018-02-13,0.55065554,1
D10112919164,-33.4819237,149.01238111,686974.7784965201,6293472.992357848,2671.528572749631,far-field,D20180213,2018-02-13,0.94076765,1
D10112919166,-33.48190295,149.0122929,686966.6259843525,6293475.452334939,2669.2907412454183,far-field,D20180213,2018-02-13,0.25156972,1
D10112919169,-33.48187051,149.01215499,686953.8801070857,6293479.298192421,2665.842672342522,far-field,D20180213,2018-02-13,0.31615123,1
D10112919170,-33.4818596,149.01210863,686949.5954453927,6293480.591563408,2664.6979685750644,far-field,D20180213,2018-02-13,7.662254e-06,0
D10112919175,-33.48180568,149.01187942,686928.4114493395,6293486.983860475,2659.1398525378963,far-field,D20180213,2018-02-13,0.009681982,0
D10112919176,-33.48179491,149.01183366,686924.1822370377,6293488.260613946,2658.0513865437856,far-field,D20180213,2018-02-13,0.0004230072,0
D10112919180,-33.48175385,149.01165902,686908.0416275526,6293493.128473885,2653.9566446149915,far-field,D20180213,2018-02-13,6.8550953e-06,0
D10112919182,-33.48173347,149.01157234,686900.0304685415,6293495.544606717,2651.961763361146,far-field,D20180213,2018-02-13,0.0009099377,0
D10112919190,-33.48165772,149.01124998,686870.2371147881,6293504.525346577,2644.7577693213984,far-field,D20180213,2018-02-13,0.7049864,1
D10112919191,-33.48164896,149.01121267,686866.7888081057,6293505.563961308,2643.945638213064,far-field,D20180213,2018-02-13,9.404011e-05,0
D10112919192,-33.48164017,149.0111752,686863.3256967932,6293506.606189681,2643.133973235764,far-field,D20180213,2018-02-13,7.61003e-05,0
D10112919195,-33.48161347,149.01106153,686852.8199789481,6293509.771730872,2640.703813347086,far-field,D20180213,2018-02-13,0.001976803,0
D10112919199,-33.48157687,149.01090568,686838.4158340095,6293514.111051807,2637.4416685310152,far-field,D20180213,2018-02-13,7.42483e-05,0
D10112919201,-33.48155829,149.0108266,686831.1070271508,6293516.313833681,2635.818561772883,far-field,D20180213,2018-02-13,0.0014684881,0
D10113019119,-33.48253541,149.01442129,687163.0506187516,6293401.479424491,2718.230279447773,far-field,D20180213,2018-02-13,0.00032898423,0
D10113019123,-33.48249435,149.01424666,687146.9111820882,6293406.347678237,2712.6507653970284,far-field,D20180213,2018-02-13,0.011531035,0
D10113019124,-33.48248403,149.0142028,687142.8576212963,6293407.571201706,2711.2647497881244,far-field,D20180213,2018-02-13,0.0015907427,0
D10113019125,-33.48247368,149.01415875,687138.7864680416,6293408.7983928565,2709.877331906656,far-field,D20180213,2018-02-13,0.040734697,0
D10113019126,-33.48246327,149.0141145,687134.6968575926,6293410.032596567,2708.490806065455,far-field,D20180213,2018-02-13,0.019553509,0
D10113019127,-33.48245282,149.01407004,687130.5878176359,6293411.271612924,2707.1029121582483,far-field,D20180213,2018-02-13,0.0079725515,0
D10113019136,-33.48234962,149.01363156,687090.0632815479,6293423.506482091,2693.7556763854222,far-field,D20180213,2018-02-13,0.08569196,0
D10113019139,-33.48231294,149.01347581,687075.6688172335,6293427.854859471,2689.1611978494193,far-field,D20180213,2018-02-13,0.15567048,0
D10113019140,-33.48230182,149.01342854,687071.3000799796,6293429.173214529,2687.780713551274,far-field,D20180213,2018-02-13,0.013414711,0
D10113019141,-33.48229059,149.01338082,687066.8897611164,6293430.504577086,2686.3946125978964,far-field,D20180213,2018-02-13,0.46602198,1
D10113019142,-33.48227925,149.01333265,687062.4378606072,6293431.848947087,2685.003110475193,far-field,D20180213,2018-02-13,0.40170407,1
D10113019144,-33.48225608,149.0132342,687053.3390341537,6293434.595822089,2682.1813544335587,far-field,D20180213,2018-02-13,0.0010865006,0
D10113019146,-33.48223395,149.01314014,687044.6459158971,6293437.219445892,2679.5134933044983,far-field,D20180213,2018-02-13,0.072161704,0
D10113019151,-33.48218087,149.0129145,687023.7920102158,6293443.512374124,2673.227726354176,far-field,D20180213,2018-02-13,0.0022568356,0
D10113019152,-33.48217057,149.01287068,687019.742095216,6293444.73355445,2672.0251015665235,far-field,D20180213,2018-02-13,0.0004858192,0
D10113019153,-33.48216027,149.01282688,687015.6940378322,6293445.954696994,2670.8296193522547,far-field,D20180213,2018-02-13,0.015125051,0
D10113019155,-33.48213952,149.01273863,687007.5378401933,6293448.41478228,2668.4393609960803,far-field,D20180213,2018-02-13,0.90522856,1
D10113019157,-33.48211896,149.01265119,686999.4565012334,6293450.852331022,2666.095811045482,far-field,D20180213,2018-02-13,0.07434633,0
D10113019158,-33.48210901,149.01260888,686995.5461480904,6293452.031967037,2664.9708273294887,far-field,D20180213,2018-02-13,0.17539369,1
D10113019160,-33.48208967,149.01252658,686987.9398262071,6293454.324953206,2662.797762275472,far-field,D20180213,2018-02-13,0.15510952,0
D10113019161,-33.48208,149.01248543,686984.1366640364,6293455.471443979,2661.719453747343,far-field,D20180213,2018-02-13,0.046318054,0
D10113019163,-33.48206055,149.01240269,686976.489685765,6293457.777412023,2659.568561732208,far-field,D20180213,2018-02-13,0.088338874,0
