ID,Fi,Lambda,E,N,H,Velocity_m,Sigma_ts_m,aceler,def0,D20240107,D20240119,D20240131,D20240212,D20240224,D20240307,D20240319,D20240331,D20240412,D20240424,D20240506,D20240518,D20240530,D20240611,D20240623,D20240705,D20240717,D20240729,D20240822,D20240903,D20240915,D20240927,D20241009,D20241021,D20241102,D20241114,D20241126,D20241208,D20241220,D20250101,D20250113,D20250125,D20250206,D20250218
D30002900149,-12.647531519999999,28.035171099999999,612417.199999999953434,8601619.500000000000000,1299.000000000000000,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,3.200000000000000,-0.320000000000000,-2.550000000000000,3.200000000000000,6.550000000000000,1.030000000000000,1.100000000000000,-0.600000000000000,-2.290000000000000,4.070000000000001,7.890000000000000,1.740000000000000,17.960000000000001,17.129999999999999,17.370000000000001,17.910000000000000,17.020000000000000,15.770000000000000,20.000000000000000,18.609999999999999,23.219999999999999,21.780000000000001,24.059999999999999,27.280000000000001,22.760000000000002,15.580000000000000,12.949999999999999,23.230000000000000,18.649999999999999,18.230000000000000,19.670000000000002,16.809999999999999,14.070000000000000
D30002900150,-12.647523670000000,28.035137379999998,612413.599999999976717,8601620.400000000372529,1299.279999999999973,0.000000000000000,0.000000000000000,IV,0.000000000000000,0.000000000000000,2.790000000000000,-0.140000000000000,-2.000000000000000,1.730000000000000,8.830000000000000,2.600000000000000,2.670000000000000,0.970000000000000,-0.720000000000000,-1.530000000000000,-2.750000000000000,-5.570000000000000,-1.970000000000000,-2.100000000000000,1.340000000000000,-10.770000000000000,-11.930000000000000,-14.670000000000000,-13.420000000000000,-12.880000000000001,-7.950000000000000,-6.790000000000000,-9.740000000000000,-5.060000000000000,-9.310000000000000,-21.960000000000001,-20.520000000000000,-0.570000000000000,-15.949999999999999,-13.910000000000000,-14.070000000000000,-18.399999999999999,-22.190000000000001
D30002900172,-12.647353790000000,28.034408230000000,612334.500000000000000,8601639.500000000000000,1305.930000000000064,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,5.900000000000000,4.980000000000000,3.950000000000000,8.340000000000000,8.020000000000000,9.480000000000000,9.550000000000001,7.850000000000000,6.160000000000000,4.530000000000000,8.320000000000000,4.420000000000000,7.400000000000000,7.130000000000000,6.430000000000000,9.890000000000001,2.610000000000000,3.850000000000000,9.869999999999999,6.940000000000000,8.840000000000000,13.960000000000001,11.680000000000000,8.460000000000003,3.800000000000000,8.570000000000000,11.170000000000000,22.160000000000000,20.480000000000000,17.219999999999999,18.609999999999999,16.910000000000000,13.230000000000000
D30002900231,-12.646918800000000,28.032540380000000,612131.800000000046566,8601688.400000000372529,1314.380000000000109,0.000000000000000,0.000000000000000,AC,0.000000000000000,0.000000000000000,-2.790000000000000,-3.030000000000000,-11.940000000000000,-5.960000000000000,-12.020000000000000,-20.660000000000000,-20.590000000000000,-22.289999999999999,-23.989999999999998,-34.789999999999999,-26.149999999999999,-25.859999999999999,-27.180000000000000,-21.660000000000000,-25.370000000000001,-24.180000000000000,-28.320000000000000,-27.940000000000001,-25.210000000000001,-27.989999999999998,-25.309999999999999,-31.570000000000000,-29.780000000000001,-25.420000000000002,-27.910000000000000,-27.640000000000001,-26.559999999999999,-28.030000000000001,-32.329999999999998,-31.420000000000002,-31.430000000000000,-32.469999999999999,-36.390000000000001
D30002900330,-12.646189860000000,28.029410410000001,611792.199999999953434,8601770.400000000372529,1328.000000000000000,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,-8.500000000000000,-15.650000000000000,-26.219999999999999,-26.489999999999998,-22.800000000000001,-24.160000000000000,-24.090000000000000,-25.780000000000001,-27.480000000000000,-6.000000000000000,-7.950000000000000,-10.850000000000000,-11.529999999999999,-11.260000000000000,-12.260000000000000,-11.260000000000000,-13.800000000000001,-10.310000000000000,-12.609999999999999,-12.770000000000000,-13.560000000000000,-13.750000000000000,-11.720000000000001,-9.250000000000000,-14.180000000000000,-19.000000000000000,-20.030000000000001,-15.250000000000000,-15.960000000000001,-13.529999999999999,-10.949999999999999,-17.140000000000001,10.490000000000000
D30002900429,-12.645496590000000,28.026432300000000,611469.000000000000000,8601848.300000000745058,1325.660000000000082,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,-5.200000000000000,1.600000000000000,-5.610000000000000,-0.870000000000000,-0.270000000000000,-2.570000000000000,-2.500000000000000,-4.200000000000000,-5.900000000000000,-5.300000000000000,-9.230000000000000,-6.630000000000000,-9.740000000000000,-6.650000000000000,-5.760000000000000,-5.730000000000000,-9.550000000000001,-6.110000000000000,-6.060000000000000,-6.920000000000000,-6.440000000000000,-7.010000000000000,-7.760000000000000,-4.430000000000000,-6.490000000000000,-9.520000000000000,-14.830000000000000,-9.590000000000000,-10.210000000000001,-5.610000000000000,-8.890000000000002,-7.530000000000000,-11.100000000000000
D30002900430,-12.645489059999999,28.026399970000000,611465.500000000000000,8601849.199999999254942,1325.869999999999891,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,-4.170000000000000,-0.050000000000000,-7.150000000000000,-1.900000000000000,-1.270000000000000,-4.090000000000000,-4.020000000000000,-5.710000000000000,-7.410000000000000,-11.260000000000000,-12.070000000000000,-8.869999999999999,-11.910000000000000,-10.660000000000000,-10.230000000000000,-10.390000000000001,-14.560000000000000,-9.850000000000000,-9.010000000000000,-9.960000000000001,-8.960000000000003,-8.410000000000000,-10.039999999999999,-7.440000000000000,-10.090000000000000,-13.609999999999999,-18.000000000000000,-12.460000000000001,-12.859999999999999,-9.539999999999999,-13.650000000000000,-12.550000000000001,-16.399999999999999
D30003000004,-12.648670720000000,28.039505170000002,612887.400000000023283,8601491.699999999254942,1302.799999999999955,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,-3.090000000000000,8.770000000000000,3.410000000000000,11.270000000000000,7.960000000000000,7.910000000000000,7.980000000000000,6.280000000000000,4.590000000000000,3.200000000000000,6.100000000000000,6.180000000000000,6.050000000000000,4.670000000000000,4.370000000000000,6.130000000000000,4.400000000000001,6.050000000000000,7.350000000000000,5.910000000000000,6.180000000000000,6.130000000000000,7.290000000000000,11.840000000000000,3.690000000000000,-1.640000000000000,-1.400000000000000,7.470000000000000,5.890000000000000,3.350000000000000,11.480000000000000,9.330000000000000,9.560000000000000
D30003000005,-12.648664900000000,28.039480120000000,612884.700000000069849,8601492.300000000745058,1302.240000000000009,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,-0.030000000000000,5.710000000000000,-2.000000000000000,8.880000000000003,1.980000000000000,-0.080000000000000,-0.010000000000000,-1.710000000000000,-3.400000000000000,-2.430000000000000,0.980000000000000,2.720000000000000,0.850000000000000,0.310000000000000,0.820000000000000,1.770000000000000,-0.450000000000000,1.690000000000000,4.210000000000000,1.360000000000000,3.610000000000000,9.000000000000000,3.750000000000000,7.620000000000000,-3.130000000000000,-1.620000000000000,-2.510000000000000,2.470000000000000,-1.240000000000000,-2.510000000000000,3.510000000000000,4.220000000000000,0.910000000000000
D30003000006,-12.648659090000001,28.039455069999999,612881.999999999883585,8601493.000000000000000,1301.680000000000064,0.000000000000000,0.000000000000000,IV,0.000000000000000,0.000000000000000,2.550000000000000,0.110000000000000,-2.980000000000000,5.040000000000000,-8.880000000000003,12.020000000000000,12.100000000000000,10.400000000000000,8.699999999999999,7.590000000000000,8.220000000000002,8.460000000000003,8.920000000000000,8.840000000000000,9.029999999999999,8.240000000000000,5.180000000000000,7.380000000000000,10.730000000000000,10.920000000000000,6.540000000000000,10.949999999999999,11.650000000000000,15.090000000000000,9.410000000000000,2.470000000000000,-0.290000000000000,7.330000000000000,0.860000000000000,4.970000000000000,2.540000000000000,-0.180000000000000,1.600000000000000
